Date,Reason,Regime,BTC_Risk,Sentiment,Live_Signal,Turnover_%,Fees_USD,Cash_%,Portfolio_Value,Trades
2022-06-12,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.5,apathy,None,12.5,24.06,75.0,96212.91,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(24.06)}]"
2022-07-09,Tier change: LINK: bearish→neutral,Growth↓ Inflation↑,0.5,apathy,None,11.74,22.23,100.0,94638.22,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-23.48), 'fee': np.float64(22.23)}]"
2022-07-17,Tier change: LINK: bearish→neutral,Growth↓ Inflation↑,0.5,apathy,None,0.0,0.0,100.0,94743.74,[]
2022-07-29,Tier change: ETH: bearish→neutral,Growth↓ Inflation↑,0.5,apathy,None,0.0,0.0,100.0,94903.26,[]
2022-07-31,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.5,apathy,None,12.5,23.73,75.0,94906.14,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(23.73)}]"
2022-08-14,Tier change: XAUT: bearish→neutral,Growth↑ Inflation↑,0.5,apathy,None,14.83,29.05,52.5,97891.14,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(24.48)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-4.67), 'fee': np.float64(4.57)}]"
2022-08-28,Tier change: ETH: neutral→bearish,Growth↑ Inflation↑,0.205,apathy,None,14.74,27.76,75.2,94143.76,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-25.0), 'fee': np.float64(23.54)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(4.48), 'fee': np.float64(4.22)}]"
2022-09-02,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.216,apathy,None,12.43,23.45,100.0,94267.58,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-24.87), 'fee': np.float64(23.45)}]"
2022-09-08,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.236,apathy,None,14.75,27.83,70.5,94315.69,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(29.5), 'fee': np.float64(27.83)}]"
2022-09-22,Tier change: XRP: neutral→bearish,Growth↑ Inflation↑,0.22,apathy,None,0.97,0.0,72.85,93938.31,[]
2022-09-25,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.22,apathy,None,14.48,27.18,100.0,93796.47,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-28.96), 'fee': np.float64(27.18)}]"
2022-10-05,Tier change: XRP: bearish→neutral,Growth↓ Inflation↑,0.341,apathy,None,12.5,23.48,75.0,93900.21,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(23.48)}]"
2022-10-06,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.321,apathy,None,13.53,25.34,48.0,93811.45,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(27.0), 'fee': np.float64(25.34)}]"
2022-10-12,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.271,apathy,None,25.46,46.81,100.0,91886.85,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-24.87), 'fee': np.float64(22.87)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-26.05), 'fee': np.float64(23.94)}]"
2022-10-30,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.448,apathy,None,12.5,23.03,75.0,92093.07,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(23.03)}]"
2022-11-04,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.516,apathy,None,26.17,49.79,75.0,95072.86,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(23.78)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-27.34), 'fee': np.float64(26.01)}]"
2022-11-12,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.382,apathy,None,11.43,21.32,52.8,96011.26,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(22.2), 'fee': np.float64(21.32)}]"
2022-12-02,Tier change: VNINDEX: bearish→neutral,Growth↑ Inflation↑,0.444,apathy,None,1.82,0.0,55.0,97737.75,[]
2023-01-14,Tier change: XAUT: neutral→bullish,Growth↑ Inflation↑,0.543,apathy,None,12.65,25.4,25.0,100345.2,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(23.26), 'fee': np.float64(23.35)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(2.04), 'fee': np.float64(2.05)}]"
2023-01-23,Tier change: VNINDEX: neutral→bullish,Growth↑ Inflation↑,0.547,apathy,None,0.19,0.0,25.0,100955.43,[]
2023-01-31,Tier change: XAUT: bullish→neutral,Growth↑ Inflation↑,0.568,apathy,None,16.34,33.09,57.5,101247.34,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-29.83), 'fee': np.float64(30.21)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-2.85), 'fee': np.float64(2.88)}]"
2023-02-05,Tier change: VNINDEX: bullish→neutral,Growth↑ Inflation↑,0.591,apathy,None,1.07,0.0,55.0,101967.53,[]
2023-02-10,Tier change: ETH: bullish→neutral,Growth↑ Inflation↑,0.55,apathy,None,1.43,0.0,60.0,100062.16,[]
2023-03-09,Tier change: BNB: neutral→bearish,Growth↑ Inflation↑,0.478,apathy,None,0.48,0.0,60.0,98029.79,[]
2023-03-12,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.529,apathy,None,12.84,25.71,75.0,100092.88,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(4.58), 'fee': np.float64(4.58)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-21.1), 'fee': np.float64(21.13)}]"
2023-03-23,Regime: Growth↓ Inflation↑ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.629,apathy,None,0.35,0.0,75.0,101180.21,[]
2023-03-31,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.609,apathy,None,12.76,25.8,60.0,101042.7,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-5.53), 'fee': np.float64(5.59)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(20.0), 'fee': np.float64(20.21)}]"
2023-04-08,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.595,apathy,None,12.09,24.45,75.0,101100.93,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(4.6), 'fee': np.float64(4.65)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-19.58), 'fee': np.float64(19.8)}]"
2023-04-11,Regime: Growth↓ Inflation↑ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.629,apathy,None,2.51,5.08,80.0,101163.68,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-5.02), 'fee': np.float64(5.08)}]"
2023-04-15,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.655,apathy,None,12.53,25.29,55.0,101121.85,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(25.29)}]"
2023-04-18,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.68,apathy,None,0.39,0.0,55.0,101860.82,[]
2023-04-27,Regime: Growth↑ Inflation↑ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.648,apathy,None,12.6,25.11,80.0,100727.82,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-24.92), 'fee': np.float64(25.11)}]"
2023-05-08,Tier change: BNB: neutral→bearish,Growth↓ Inflation↓,0.598,apathy,None,0.01,0.0,80.0,101261.01,[]
2023-05-17,Tier change: LINK: bearish→neutral,Growth↓ Inflation↓,0.606,apathy,None,0.13,0.0,80.0,101034.44,[]
2023-05-23,Regime: Growth↓ Inflation↓ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.601,apathy,None,0.17,0.0,80.0,101000.27,[]
2023-05-29,Tier change: BTC: bearish→neutral,Growth↓ Inflation↑,0.586,apathy,None,9.71,19.57,100.0,100771.53,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-19.42), 'fee': np.float64(19.57)}]"
2023-06-03,Tier change: BTC: neutral→bearish,Growth↓ Inflation↑,0.556,apathy,None,0.0,0.0,100.0,100841.8,[]
2023-06-08,Regime: Growth↓ Inflation↑ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.407,apathy,None,0.0,0.0,100.0,100912.51,[]
2023-06-13,Tier change: XRP: neutral→bearish,Growth↑ Inflation↓,0.365,despair,None,0.0,0.0,100.0,100983.27,[]
2023-06-22,Tier change: XRP: bearish→neutral,Growth↑ Inflation↓,0.363,panic,Re-Entry,8.0,16.18,84.0,101094.58,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(16.0), 'fee': np.float64(16.18)}]"
2023-07-02,Tier change: LINK: bearish→neutral,Growth↑ Inflation↓,0.384,apathy,None,0.14,0.0,84.0,101578.43,[]
2023-07-13,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.418,apathy,None,8.41,17.23,100.0,102379.73,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-16.83), 'fee': np.float64(17.23)}]"
2023-07-22,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.366,apathy,None,0.0,0.0,100.0,102507.25,[]
2023-07-25,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.355,apathy,None,5.6,11.49,88.8,102538.89,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(11.2), 'fee': np.float64(11.49)}]"
2023-08-18,Tier change: BNB: neutral→bearish,Growth↑ Inflation↑,0.255,apathy,None,5.13,10.44,100.0,101786.69,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-10.25), 'fee': np.float64(10.44)}]"
2023-09-05,Regime: Growth↑ Inflation↑ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.237,apathy,None,6.52,13.32,86.95,102029.97,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(13.05), 'fee': np.float64(13.32)}]"
2023-09-20,Tier change: LINK: bearish→neutral,Growth↑ Inflation↓,0.23,apathy,None,2.36,0.0,82.25,102208.61,[]
2023-09-22,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↑,Growth↓ Inflation↑,0.212,apathy,None,6.42,13.11,100.0,102021.0,"[{'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-12.85), 'fee': np.float64(13.11)}]"
2023-09-29,Tier change: VNINDEX: neutral→bearish,Growth↓ Inflation↑,0.24,apathy,None,0.0,0.0,100.0,102120.63,[]
2023-10-07,Tier change: BTC: neutral→bearish,Growth↓ Inflation↑,0.226,apathy,None,0.0,0.0,100.0,102235.22,[]
2023-10-17,Tier change: BTC: bearish→neutral,Growth↓ Inflation↑,0.238,apathy,None,12.5,25.59,75.0,102353.05,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(25.59)}]"
2023-10-22,Tier change: BNB: bearish→neutral,Growth↓ Inflation↑,0.277,apathy,None,0.23,0.0,75.0,103062.58,[]
2023-10-27,Tier change: LINK: neutral→bullish,Growth↓ Inflation↑,0.298,apathy,None,0.32,0.0,75.0,103377.08,[]
2023-11-11,Tier change: ETH: neutral→bullish,Growth↓ Inflation↑,0.437,apathy,None,2.47,0.0,80.0,102638.26,[]
2023-11-14,Regime: Growth↓ Inflation↑ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.383,apathy,None,1.32,0.0,77.5,102947.84,[]
2023-11-23,Tier change: LINK: bullish→neutral,Growth↓ Inflation↓,0.35,apathy,None,0.24,0.0,75.0,103555.55,[]
2023-12-02,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.325,apathy,None,12.84,26.85,50.4,104497.03,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-1.08), 'fee': np.float64(1.13)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(24.6), 'fee': np.float64(25.71)}]"
2023-12-07,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.361,apathy,None,14.81,30.98,80.0,104567.96,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-4.65), 'fee': np.float64(4.86)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-24.97), 'fee': np.float64(26.12)}]"
2023-12-13,"Tier change: BNB: bullish→neutral, ETH: bullish→neutral",Growth↓ Inflation↓,0.46,apathy,None,0.05,0.0,80.0,104520.65,[]
2023-12-15,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.418,apathy,None,13.82,28.88,52.5,104475.59,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(2.64), 'fee': np.float64(2.75)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(25.0), 'fee': np.float64(26.13)}]"
2023-12-29,Tier change: BTC: neutral→bullish,Growth↑ Inflation↓,0.662,apathy,None,11.96,26.87,25.0,112312.99,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(3.72), 'fee': np.float64(4.18)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(20.2), 'fee': np.float64(22.69)}]"
2024-01-05,Tier change: DOGE: neutral→bearish,Growth↑ Inflation↓,0.689,apathy,None,5.04,11.36,35.0,112754.28,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-4.71), 'fee': np.float64(5.31)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-5.36), 'fee': np.float64(6.05)}]"
2024-02-20,Tier change: DOGE: bearish→neutral,Growth↑ Inflation↓,0.852,apathy,None,16.03,38.09,53.12,118739.55,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(6.19), 'fee': np.float64(7.35)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-25.88), 'fee': np.float64(30.74)}]"
2024-02-26,Tier change: BTC: neutral→bullish,Growth↑ Inflation↓,0.891,apathy,None,7.77,18.17,36.09,122236.8,"[{'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(14.86), 'fee': np.float64(18.17)}]"
2024-03-03,Tier change: BNB: neutral→bullish,Growth↑ Inflation↓,0.908,apathy,None,2.74,0.0,40.1,124053.69,[]
2024-03-12,Tier change: XAUT: neutral→bullish,Growth↑ Inflation↓,0.931,apathy,None,21.79,61.22,20.85,140442.03,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(27.39), 'fee': np.float64(38.49)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-16.18), 'fee': np.float64(22.74)}]"
2024-03-17,Tier change: XAUT: bullish→neutral,Growth↑ Inflation↓,0.902,apathy,None,16.13,45.88,52.86,142162.12,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-28.83), 'fee': np.float64(41.0)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-3.43), 'fee': np.float64(4.88)}]"
2024-03-24,Tier change: BTC: bullish→neutral,Growth↑ Inflation↓,0.889,apathy,None,6.92,19.72,57.23,142520.29,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(4.69), 'fee': np.float64(6.69)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-9.14), 'fee': np.float64(13.03)}]"
2024-03-30,Tier change: XAUT: neutral→bullish,Growth↑ Inflation↓,0.892,apathy,None,13.94,40.39,34.54,144830.81,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(24.85), 'fee': np.float64(35.99)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-3.04), 'fee': np.float64(4.4)}]"
2024-04-14,Tier change: DOGE: neutral→bearish,Growth↑ Inflation↓,0.856,apathy,None,6.18,18.51,35.96,149780.27,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-7.43), 'fee': np.float64(11.13)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(4.93), 'fee': np.float64(7.39)}]"
2024-04-21,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↓,0.859,apathy,None,14.31,42.9,56.56,149894.24,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-24.61), 'fee': np.float64(36.89)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(4.01), 'fee': np.float64(6.01)}]"
2024-04-23,Regime: Growth↑ Inflation↓ → Growth↑ Inflation↑,Growth↑ Inflation↑,0.874,apathy,None,1.78,0.0,58.47,150719.0,[]
2024-05-02,"Tier change: XRP: neutral→bearish, ETH: neutral→bearish",Growth↑ Inflation↑,0.833,apathy,None,1.81,0.0,60.2,147813.26,[]
2024-05-07,Regime: Growth↑ Inflation↑ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.841,apathy,None,0.91,0.0,55.25,148855.27,[]
2024-05-17,Tier change: ETH: bearish→neutral,Growth↑ Inflation↓,0.835,apathy,None,3.04,9.13,57.7,150467.43,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(2.46), 'fee': np.float64(3.7)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-3.61), 'fee': np.float64(5.44)}]"
2024-05-22,Tier change: XRP: bearish→neutral,Growth↑ Inflation↓,0.865,apathy,None,2.09,0.0,57.28,152137.24,[]
2024-05-29,Tier change: LINK: bearish→neutral,Growth↑ Inflation↓,0.835,apathy,None,1.19,0.0,60.2,150415.91,[]
2024-06-05,Tier change: DOGE: bearish→neutral,Growth↑ Inflation↓,0.901,apathy,None,4.18,13.05,56.79,156255.9,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(3.63), 'fee': np.float64(5.68)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-4.72), 'fee': np.float64(7.37)}]"
2024-06-11,"Tier change: BNB: neutral→bearish, ETH: neutral→bearish",Growth↑ Inflation↓,0.822,apathy,None,4.45,13.49,60.2,151653.4,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-5.27), 'fee': np.float64(7.99)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(3.63), 'fee': np.float64(5.5)}]"
2024-06-15,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.828,apathy,None,12.4,37.76,75.0,152180.85,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(4.91), 'fee': np.float64(7.47)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-19.9), 'fee': np.float64(30.29)}]"
2024-06-22,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.801,apathy,None,1.18,0.0,77.5,152030.92,[]
2024-06-26,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.778,apathy,None,12.32,37.38,100.0,151645.64,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-24.64), 'fee': np.float64(37.38)}]"
2024-06-29,Regime: Growth↓ Inflation↓ → Growth↑ Inflation↓,Growth↑ Inflation↓,0.773,apathy,None,17.44,52.91,65.12,151654.83,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(22.5), 'fee': np.float64(34.13)}, {'asset': 'BTC', 'action': 'BUY', 'delta': np.float64(12.38), 'fee': np.float64(18.77)}]"
2024-07-15,Tier change: DOGE: bearish→neutral,Growth↑ Inflation↓,0.782,apathy,None,1.03,0.0,62.62,153899.28,[]
2024-07-25,Tier change: VNINDEX: neutral→bearish,Growth↑ Inflation↓,0.751,apathy,None,3.9,11.94,72.58,153024.92,"[{'asset': 'XAUT', 'action': 'SELL', 'delta': np.float64(-2.93), 'fee': np.float64(4.49)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-4.87), 'fee': np.float64(7.46)}]"
2024-08-04,Regime: Growth↑ Inflation↓ → Growth↓ Inflation↓,Growth↓ Inflation↓,0.698,apathy,None,5.39,16.46,75.0,152702.61,"[{'asset': 'XAUT', 'action': 'BUY', 'delta': np.float64(4.3), 'fee': np.float64(6.57)}, {'asset': 'BTC', 'action': 'SELL', 'delta': np.float64(-6.48), 'fee': np.float64(9.9)}]"
